,index,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
1118,0,128A LORONG 1 TOA PAYOH MULTI STOREY CAR PARK SINGAPORE 311128,128A,MULTI STOREY CAR PARK,1.33821653776521,103.844064129352,103.844064129352,311128,LORONG 1 TOA PAYOH,MULTI STOREY CAR PARK,29195.8651284673,35598.7046131901,128 Lorong 1 Toa Payoh
1119,1,128 LORONG 1 TOA PAYOH TOA PAYOH VIEW SINGAPORE 310128,128,TOA PAYOH VIEW,1.33781295353997,103.844331928876,103.844331928876,310128,LORONG 1 TOA PAYOH,TOA PAYOH VIEW,29225.6685591721,35554.0784665719,128 Lorong 1 Toa Payoh
1120,2,128 LORONG 1 TOA PAYOH OCBC Toa Payoh Lorong 1 SINGAPORE 310128,128,OCBC Toa Payoh Lorong 1,1.33781616112256,103.844214270088,103.844214270088,310128,LORONG 1 TOA PAYOH,OCBC Toa Payoh Lorong 1,29212.5743872703,35554.4330862705,128 Lorong 1 Toa Payoh
1121,3,128 LORONG 1 TOA PAYOH UOB Lorong 1 Toa Payoh SINGAPORE 310128,128,UOB Lorong 1 Toa Payoh,1.3378129538137,103.844331929148,103.844331929148,310128,LORONG 1 TOA PAYOH,UOB Lorong 1 Toa Payoh,29225.6685894385,35554.0784968399,128 Lorong 1 Toa Payoh
1122,0,58 DAKOTA CRESCENT HDB-KALLANG AIRPORT SINGAPORE 390058,58,HDB-KALLANG AIRPORT,1.30730729862784,103.889390130934,103.889390130934,390058,DAKOTA CRESCENT,HDB-KALLANG AIRPORT,34240.2437551557,32180.986605376,58 Dakota Crescent
1123,0,529 HOUGANG AVENUE 6 HDB-HOUGANG SINGAPORE 530529,529,HDB-HOUGANG,1.37546896487504,103.890729546346,103.890729546346,530529,HOUGANG AVENUE 6,HDB-HOUGANG,34389.1315735766,39717.9621430878,529 Hougang Avenue 6
1124,0,177 WOODLANDS STREET 13 HDB-WOODLANDS SINGAPORE 730177,177,HDB-WOODLANDS,1.43435791362605,103.778088434368,103.778088434368,730177,WOODLANDS STREET 13,HDB-WOODLANDS,21853.7211211264,46229.6017113607,177 Woodlands Street 13
1125,0,497D TAMPINES STREET 45 HDB-TAMPINES SINGAPORE 523497,497D,HDB-TAMPINES,1.35883428878935,103.959075281438,103.959075281438,523497,TAMPINES STREET 45,HDB-TAMPINES,41995.2729651675,37878.8717038222,497D Tampines Street 45
1126,0,41 CIRCUIT ROAD HDB-MACPHERSON SINGAPORE 370041,41,HDB-MACPHERSON,1.32720568580385,103.88626741965,103.88626741965,370041,CIRCUIT ROAD,HDB-MACPHERSON,33892.6681138974,34381.2414366547,41 Circuit Road
1127,0,944 TAMPINES AVENUE 5 TAMPINES PALMSVILLE SINGAPORE 520944,944,TAMPINES PALMSVILLE,1.35070823134699,103.940856151429,103.940856151429,520944,TAMPINES AVENUE 5,TAMPINES PALMSVILLE,39967.7308508717,36980.2342755497,944 Tampines Avenue 5
1128,0,54 CASSIA CRESCENT HDB-GUILLEMARD SINGAPORE 390054,54,HDB-GUILLEMARD,1.31004800551082,103.884678198119,103.884678198119,390054,CASSIA CRESCENT,HDB-GUILLEMARD,33715.8429767731,32484.0287805833,54 Cassia Crescent
1129,0,780C WOODLANDS CRESCENT WOODLANDS DEW SINGAPORE 733780,780C,WOODLANDS DEW,1.44911111477952,103.801346682135,103.801346682135,733780,WOODLANDS CRESCENT,WOODLANDS DEW,24442.0352640255,47860.8875505589,780C Woodlands Crescent
1130,0,603 WOODLANDS DRIVE 42 HDB-WOODLANDS SINGAPORE 730603,603,HDB-WOODLANDS,1.43757277585062,103.796414103464,103.796414103464,730603,WOODLANDS DRIVE 42,HDB-WOODLANDS,23893.0967458008,46585.0440318547,603 Woodlands Drive 42
1131,0,314C ANCHORVALE LINK ANCHORVALE GARDENS SINGAPORE 543314,314C,ANCHORVALE GARDENS,1.3914675999442,103.888964274249,103.888964274249,543314,ANCHORVALE LINK,ANCHORVALE GARDENS,34192.6370596443,41487.0061722919,314C Anchorvale Link
1132,0,643 YISHUN STREET 61 HDB-YISHUN SINGAPORE 760643,643,HDB-YISHUN,1.42133515867975,103.837436986724,103.837436986724,760643,YISHUN STREET 61,HDB-YISHUN,28458.3189945599,44789.53724931,643 Yishun Street 61
1133,0,508 SERANGOON NORTH AVENUE 4 HDB-SERANGOON NORTH ESTATE SINGAPORE 550508,508,HDB-SERANGOON NORTH ESTATE,1.37184770991731,103.875761256028,103.875761256028,550508,SERANGOON NORTH AVENUE 4,HDB-SERANGOON NORTH ESTATE,32723.3524914729,39317.5072446298,508 Serangoon North Avenue 4
1134,0,714A WOODLANDS DRIVE 70 MULTI STOREY CAR PARK SINGAPORE 731714,714A,MULTI STOREY CAR PARK,1.44148513309368,103.799089698328,103.799089698328,731714,WOODLANDS DRIVE 70,MULTI STOREY CAR PARK,24190.8560379326,47017.6482810937,714 Woodlands Drive 70
1135,1,714 WOODLANDS DRIVE 70 HDB-WOODLANDS SINGAPORE 730714,714,HDB-WOODLANDS,1.44204928734019,103.798789070341,103.798789070341,730714,WOODLANDS DRIVE 70,HDB-WOODLANDS,24157.401743569,47080.0301415156,714 Woodlands Drive 70
1136,0,518 SERANGOON NORTH AVENUE 4 HDB-SERANGOON NORTH ESTATE SINGAPORE 550518,518,HDB-SERANGOON NORTH ESTATE,1.37164118155195,103.874103124013,103.874103124013,550518,SERANGOON NORTH AVENUE 4,HDB-SERANGOON NORTH ESTATE,32538.8229720407,39294.6671754569,518 Serangoon North Avenue 4
