,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,stn_name
3,11 WOODLANDS SQUARE WOODLANDS MRT STATION SINGAPORE 737736,11,WOODLANDS MRT STATION  (TE2),1.43605761708129,103.787938777173,103.787938777173,737736,WOODLANDS SQUARE,WOODLANDS MRT STATION  (TE2),22949.9191319844,46417.5223346166,Woodlands MRT STATION
4,30 WOODLANDS AVENUE 2 WOODLANDS MRT STATION SINGAPORE 738343,30,WOODLANDS MRT STATION  (NS9),1.43696824751195,103.78646245158,103.78646245158,738343,WOODLANDS AVENUE 2,WOODLANDS MRT STATION  (NS9),22785.628602545,46518.2186195459,Woodlands MRT STATION
5,30 WOODLANDS AVENUE 2 UOB Woodlands MRT Station SINGAPORE 738343,30,UOB Woodlands MRT Station,1.43697563029419,103.786712149452,103.786712149452,738343,WOODLANDS AVENUE 2,UOB Woodlands MRT Station,22813.4161855321,46519.0344022438,Woodlands MRT STATION
6,30 WOODLANDS AVENUE 2 UOB Woodlands MRT Station Autolobby SINGAPORE 738343,30,UOB Woodlands MRT Station Autolobby,1.43697563029419,103.786712149452,103.786712149452,738343,WOODLANDS AVENUE 2,UOB Woodlands MRT Station Autolobby,22813.4161855321,46519.0344022438,Woodlands MRT STATION
0,2 PARK STREET SHENTON WAY MRT STATION SINGAPORE 018928,2,SHENTON WAY MRT STATION  (TE19),1.27771682834252,103.850367596067,103.850367596067,018928,PARK STREET,SHENTON WAY MRT STATION  (TE19),29897.4191489161,28908.9617211073,Shenton Way MRT STATION
0,50 NEIL ROAD MAXWELL MRT STATION SINGAPORE 088906,50,MAXWELL MRT STATION  (TE18),1.28053329842878,103.843883670633,103.843883670633,088906,NEIL ROAD,MAXWELL MRT STATION  (TE18),29175.8088360239,29220.3885515556,Maxwell MRT STATION
0,300 EU TONG SEN STREET OUTRAM PARK MRT STATION SINGAPORE 059816,300,OUTRAM PARK MRT STATION,1.28024153280842,103.840052100136,103.840052100136,059816,EU TONG SEN STREET,OUTRAM PARK MRT STATION,28749.3862473662,29188.1251812801,Outram Park MRT STATION
0,110 ZION ROAD HAVELOCK MRT STATION SINGAPORE 168604,110,HAVELOCK MRT STATION  (TE16),1.28850523975313,103.833585838226,103.833585838226,168604,ZION ROAD,HAVELOCK MRT STATION  (TE16),28029.7436560959,30101.8822241183,Havelock MRT STATION
0,351 RIVER VALLEY ROAD GREAT WORLD MRT STATION SINGAPORE 238384,351,GREAT WORLD MRT STATION  (TE15),1.29394816169386,103.833720837731,103.833720837731,238384,RIVER VALLEY ROAD,GREAT WORLD MRT STATION  (TE15),28044.767865977,30703.7324468251,Great World MRT STATION
0,ORCHARD MRT STATION EXIT C SINGAPORE,,ORCHARD MRT STATION EXIT C,1.30435439891931,103.832619611937,103.832619611937,NIL,NIL,ORCHARD MRT STATION EXIT C,27922.2113470438,31854.4005395733,Orchard MRT STATION
1,ORCHARD MRT STATION EXIT E SINGAPORE,,ORCHARD MRT STATION EXIT E,1.30456047418199,103.832039800868,103.832039800868,NIL,NIL,ORCHARD MRT STATION EXIT E,27857.683698451,31877.1873068269,Orchard MRT STATION
2,ORCHARD MRT STATION EXIT A SINGAPORE,,ORCHARD MRT STATION EXIT A,1.30489770246912,103.832525108319,103.832525108319,NIL,NIL,ORCHARD MRT STATION EXIT A,27911.6939794013,31914.4762520473,Orchard MRT STATION
3,ORCHARD MRT STATION EXIT B SINGAPORE,,ORCHARD MRT STATION EXIT B,1.30316753469192,103.832171601288,103.832171601288,NIL,NIL,ORCHARD MRT STATION EXIT B,27872.3518055054,31723.1632234436,Orchard MRT STATION
4,ORCHARD MRT STATION EXIT D SINGAPORE,,ORCHARD MRT STATION EXIT D,1.30415337876275,103.83277034807,103.83277034807,NIL,NIL,ORCHARD MRT STATION EXIT D,27938.9868927315,31832.1727614422,Orchard MRT STATION
5,437 ORCHARD ROAD ORCHARD MRT STATION SINGAPORE 238878,437,ORCHARD MRT STATION  (NS22),1.30397987430726,103.832245299857,103.832245299857,238878,ORCHARD ROAD,ORCHARD MRT STATION  (NS22),27880.5538237326,31812.9875513017,Orchard MRT STATION
6,301 ORCHARD BOULEVARD ORCHARD MRT STATION SINGAPORE 237974,301,ORCHARD MRT STATION  (TE14),1.30323583384574,103.831357128652,103.831357128652,237974,ORCHARD BOULEVARD,ORCHARD MRT STATION  (TE14),27781.7084260065,31730.7154485974,Orchard MRT STATION
7,437 ORCHARD ROAD UOB Orchard MRT Station SINGAPORE 238878,437,UOB Orchard MRT Station,1.30334331867762,103.83229465268,103.83229465268,238878,ORCHARD ROAD,UOB Orchard MRT Station,27886.0463125934,31742.600505352,Orchard MRT STATION
8,437 ORCHARD ROAD DBS Orchard MRT Station SINGAPORE 238878,437,DBS Orchard MRT Station,1.30334331867762,103.83229465268,103.83229465268,238878,ORCHARD ROAD,DBS Orchard MRT Station,27886.0463125934,31742.600505352,Orchard MRT STATION
0,20 ORCHARD BOULEVARD ORCHARD BOULEVARD MRT STATION SINGAPORE 248654,20,ORCHARD BOULEVARD MRT STATION  (TE13),1.30242224836724,103.823868523249,103.823868523249,248654,ORCHARD BOULEVARD,ORCHARD BOULEVARD MRT STATION  (TE13),26948.2945375396,31640.7552477587,Orchard Boulevard MRT STATION
0,NAPIER ROAD,,NAPIER MRT STATION  (TE12),1.30678307789912,103.818967003926,103.818967003926,NIL,NAPIER ROAD,NAPIER MRT STATION  (TE12),26402.8026648877,32122.9559189547,Napier MRT STATION
0,STEVENS MRT STATION EXIT A SINGAPORE,,STEVENS MRT STATION EXIT A,1.3203292029099,103.825684307354,103.825684307354,NIL,NIL,STEVENS MRT STATION EXIT A,27150.3808798554,33620.8135242909,Stevens MRT STATION
1,82 STEVENS ROAD STEVENS MRT STATION SINGAPORE 257879,82,STEVENS MRT STATION  (TE11),1.3193343743535,103.825566965234,103.825566965234,257879,STEVENS ROAD,STEVENS MRT STATION  (TE11),27137.3215161353,33510.8105305321,Stevens MRT STATION
2,92 STEVENS ROAD STEVENS MRT STATION SINGAPORE 257877,92,STEVENS MRT STATION  (DT10),1.32006555750627,103.826024401924,103.826024401924,257877,STEVENS ROAD,STEVENS MRT STATION  (DT10),27188.2299643826,33591.6608552374,Stevens MRT STATION
0,MOUNT PLEASANT MRT STATION SINGAPORE,,MOUNT PLEASANT MRT STATION  (TE10),1.32851795409257,103.834688253778,103.834688253778,NIL,NIL,MOUNT PLEASANT MRT STATION  (TE10),28152.430781382,34526.2823456843,Mount Pleasant MRT STATION
0,20 WOODLANDS NORTH COAST ROAD WOODLANDS NORTH MRT STATION SINGAPORE 737668,20,WOODLANDS NORTH MRT STATION  (TE1),1.44829245259625,103.785692682441,103.785692682441,737668,WOODLANDS NORTH COAST ROAD,WOODLANDS NORTH MRT STATION  (TE1),22699.9912448736,47770.3945726734,Woodlands North MRT STATION
