ADD_SEQ,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
1,254 KIM KEAT AVENUE Saraswathy Kindergarten SINGAPORE 310254,254,Saraswathy Kindergarten,1.331733157,103.8583293,103.8583293,310254,KIM KEAT AVENUE,Saraswathy Kindergarten,30783.43129,34881.8171,254 KIM KEAT AVE
0,554 CHOA CHU KANG NORTH 6 HDB-CHOA CHU KANG SINGAPORE 680554,554,HDB-CHOA CHU KANG,1.396211536,103.743113,103.743113,680554,CHOA CHU KANG NORTH 6,HDB-CHOA CHU KANG,17961.32125,42011.68623,554 CHOA CHU KANG NTH 6
0,139 BEDOK RESERVOIR ROAD EUNOS SPRING SINGAPORE 470139,139,EUNOS SPRING,1.334624534,103.9137777,103.9137777,470139,BEDOK RESERVOIR ROAD,EUNOS SPRING,36954.25554,35201.66294,139 BEDOK RESERVOIR RD
0,58 TELOK BLANGAH HEIGHTS BLANGAH GARDEN SINGAPORE 100058,58,BLANGAH GARDEN,1.274922927,103.8134081,103.8134081,100058,TELOK BLANGAH HEIGHTS,BLANGAH GARDEN,25784.11688,28600.02891,58 TELOK BLANGAH HTS
0,389 BUKIT BATOK WEST AVENUE 5 GOODVIEW GARDENS SINGAPORE 650389,389,GOODVIEW GARDENS,1.36534587,103.7521421,103.7521421,650389,BUKIT BATOK WEST AVENUE 5,GOODVIEW GARDENS,18966.02605,38598.67762,389 BT BATOK WEST AVE 5
0,690E WOODLANDS DRIVE 75 HDB-WOODLANDS SINGAPORE 735690,690E,HDB-WOODLANDS,1.442165494,103.8080407,103.8080407,735690,WOODLANDS DRIVE 75,HDB-WOODLANDS,25186.9617,47092.86616,690E WOODLANDS DR 75
0,232 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560232,232,KEBUN BARU PALM VIEW,1.368346068,103.837196,103.837196,560232,ANG MO KIO AVENUE 3,KEBUN BARU PALM VIEW,28431.51545,38930.27201,232 ANG MO KIO AVE 3
0,214 BOON LAY PLACE BOON LAY PLACE SINGAPORE 640214,214,BOON LAY PLACE,1.349016642,103.7121786,103.7121786,640214,BOON LAY PLACE,BOON LAY PLACE,14518.458,36793.25792,214 BOON LAY PL
0,183 TOA PAYOH CENTRAL TOA PAYOH CENTRAL SINGAPORE 310183,183,TOA PAYOH CENTRAL,1.333355962,103.8488657,103.8488657,310183,TOA PAYOH CENTRAL,TOA PAYOH CENTRAL,29730.23073,35061.24989,183 TOA PAYOH CTRL
0,40 TELOK BLANGAH RISE HDB-BUKIT MERAH SINGAPORE 090040,40,HDB-BUKIT MERAH,1.272099266,103.8232451,103.8232451,90040,TELOK BLANGAH RISE,HDB-BUKIT MERAH,26878.90134,28287.79662,40 TELOK BLANGAH RISE
0,878 WOODLANDS AVENUE 9 HDB-WOODLANDS SINGAPORE 730878,878,HDB-WOODLANDS,1.445432594,103.7919971,103.7919971,730878,WOODLANDS AVENUE 9,HDB-WOODLANDS,23401.56488,47454.15189,878 WOODLANDS AVE 9
0,507C WELLINGTON CIRCLE MONTREAL SPRING SINGAPORE 753507,507C,MONTREAL SPRING,1.451731322,103.8234519,103.8234519,753507,WELLINGTON CIRCLE,MONTREAL SPRING,26901.99427,48150.59417,507C WELLINGTON CIRCLE
0,621 SENJA ROAD HDB-BUKIT PANJANG SINGAPORE 670621,621,HDB-BUKIT PANJANG,1.386021061,103.7628543,103.7628543,670621,SENJA ROAD,HDB-BUKIT PANJANG,20158.22808,40884.79918,621 SENJA RD
0,402 ANG MO KIO AVENUE 10 HDB-ANG MO KIO SINGAPORE 560402,402,HDB-ANG MO KIO,1.361477078,103.8553004,103.8553004,560402,ANG MO KIO AVENUE 10,HDB-ANG MO KIO,30446.32125,38170.74484,402 ANG MO KIO AVE 10
0,111 HOUGANG AVENUE 1 HDB-HOUGANG SINGAPORE 530111,111,HDB-HOUGANG,1.354985765,103.8885575,103.8885575,530111,HOUGANG AVENUE 1,HDB-HOUGANG,34147.4571,37453.02745,111 HOUGANG AVE 1
0,446C JALAN KAYU FERNVALE LODGE SINGAPORE 793446,446C,FERNVALE LODGE,1.392284488,103.8735796,103.8735796,793446,JALAN KAYU,FERNVALE LODGE,32480.52006,41577.29875,446C JLN KAYU
0,315 UBI AVENUE 1 KAMPONG UBI GREENVILLE SINGAPORE 400315,315,KAMPONG UBI GREENVILLE,1.329540236,103.9034039,103.9034039,400315,UBI AVENUE 1,KAMPONG UBI GREENVILLE,35799.78143,34639.43167,315 UBI AVE 1
1,315 UBI AVENUE 1 UBI CHILD CARE & DEVELOPMENT CENTRE SINGAPORE 400315,315,UBI CHILD CARE & DEVELOPMENT CENTRE,1.329356348,103.9032208,103.9032208,400315,UBI AVENUE 1,UBI CHILD CARE & DEVELOPMENT CENTRE,35779.39991,34619.0977,315 UBI AVE 1
