ADD_SEQ,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y,address
0,122 HOUGANG AVENUE 1 HDB-HOUGANG SINGAPORE 530122,122,HDB-HOUGANG,1.353744081,103.8861593,103.8861593,530122,HOUGANG AVENUE 1,HDB-HOUGANG,33880.57621,37315.72234,122 HOUGANG AVE 1
0,453 PASIR RIS DRIVE 6 HDB-PASIR RIS SINGAPORE 510453,453,HDB-PASIR RIS,1.371847278,103.9573733,103.9573733,510453,PASIR RIS DRIVE 6,HDB-PASIR RIS,41805.78709,39317.77542,453 PASIR RIS DR 6
1,453 PASIR RIS DRIVE 6 HDB PUBLIC SHELTERS SINGAPORE 510453,453,HDB PUBLIC SHELTERS,1.371866535,103.957401,103.957401,510453,PASIR RIS DRIVE 6,HDB PUBLIC SHELTERS,41808.87001,39319.90486,453 PASIR RIS DR 6
2,453 PASIR RIS DRIVE 6 Knowledge Park Campus LLP SINGAPORE 510453,453,Knowledge Park Campus LLP,1.371847269,103.9573733,103.9573733,510453,PASIR RIS DRIVE 6,Knowledge Park Campus LLP,41805.7877,39317.77439,453 PASIR RIS DR 6
0,410B FERNVALE ROAD CORAL SPRING SINGAPORE 792410,410B,CORAL SPRING,1.389789389,103.8760967,103.8760967,792410,FERNVALE ROAD,CORAL SPRING,32760.64916,41301.40819,410B FERNVALE RD
0,59A GEYLANG BAHRU HDB-KALLANG/WHAMPOA SINGAPORE 330059,59A,HDB-KALLANG/WHAMPOA,1.322653854,103.8682269,103.8682269,330059,GEYLANG BAHRU,HDB-KALLANG/WHAMPOA,31884.95111,33877.88753,59A GEYLANG BAHRU
0,124 BEDOK RESERVOIR ROAD EUNOS SPRING SINGAPORE 470124,124,EUNOS SPRING,1.332625423,103.9101609,103.9101609,470124,BEDOK RESERVOIR ROAD,EUNOS SPRING,36551.74974,34980.59852,124 BEDOK RESERVOIR RD
1,124 BEDOK RESERVOIR ROAD DBS Bedok Reservoir Road SINGAPORE 470124,124,DBS Bedok Reservoir Road,1.332625423,103.9101609,103.9101609,470124,BEDOK RESERVOIR ROAD,DBS Bedok Reservoir Road,36551.74971,34980.59849,124 BEDOK RESERVOIR RD
0,668A WOODLANDS RING ROAD SINGAPORE 731668,668A,NIL,1.43860167,103.7982518,103.7982518,731668,WOODLANDS RING ROAD,668A WOODLANDS RING ROAD SINGAPORE 731668,24097.6078,46698.81073,668 WOODLANDS RING RD
1,668 WOODLANDS RING ROAD HDB-WOODLANDS SINGAPORE 730668,668,HDB-WOODLANDS,1.439024834,103.7983081,103.7983081,730668,WOODLANDS RING ROAD,HDB-WOODLANDS,24103.87242,46745.60203,668 WOODLANDS RING RD
0,109 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080109,109,SPOTTISWOODE PARK ESTATE,1.274031873,103.8366527,103.8366527,80109,SPOTTISWOODE PARK ROAD,SPOTTISWOODE PARK ESTATE,28371.0666,28501.49237,109 SPOTTISWOODE PK RD
0,122B SENGKANG EAST WAY RIVERVALE BANK SINGAPORE 542122,122B,RIVERVALE BANK,1.387164898,103.9065344,103.9065344,542122,SENGKANG EAST WAY,RIVERVALE BANK,36147.98053,41011.28821,122B SENGKANG EAST WAY
0,505 BEDOK NORTH AVENUE 3 KAKI BUKIT VILLE SINGAPORE 460505,505,KAKI BUKIT VILLE,1.331828382,103.9333383,103.9333383,460505,BEDOK NORTH AVENUE 3,KAKI BUKIT VILLE,39131.15717,34892.55818,505 BEDOK NTH AVE 3
0,272C SENGKANG CENTRAL ATRINA SINGAPORE 543272,272C,ATRINA,1.384273327,103.893821,103.893821,543272,SENGKANG CENTRAL,ATRINA,34733.14815,40691.51277,272C SENGKANG CTRL
0,141A LORONG 2 TOA PAYOH MULTI STOREY CAR PARK SINGAPORE 310141,141A,MULTI STOREY CAR PARK,1.335225196,103.8456037,103.8456037,310141,LORONG 2 TOA PAYOH,MULTI STOREY CAR PARK,29367.20925,35267.93821,141 LOR 2 TOA PAYOH
1,141 LORONG 2 TOA PAYOH HDB-TOA PAYOH SINGAPORE 311141,141,HDB-TOA PAYOH,1.33583762,103.8457312,103.8457312,311141,LORONG 2 TOA PAYOH,HDB-TOA PAYOH,29381.3941,35335.65689,141 LOR 2 TOA PAYOH
0,203B COMPASSVALE ROAD HDB-SENGKANG SINGAPORE 542203,203B,HDB-SENGKANG,1.386899098,103.8947717,103.8947717,542203,COMPASSVALE ROAD,HDB-SENGKANG,34838.94577,40981.86019,203B COMPASSVALE RD
0,275A COMPASSVALE LINK ASPELLA SINGAPORE 541275,275A,ASPELLA,1.382874162,103.8946037,103.8946037,541275,COMPASSVALE LINK,ASPELLA,34820.26071,40536.80242,275A COMPASSVALE LINK
1,275A COMPASSVALE LINK FAITH EDUCARE CENTRE @BUANGKOK PTE. LTD. SINGAPORE 541275,275A,FAITH EDUCARE CENTRE @BUANGKOK PTE. LTD.,1.382910291,103.8944528,103.8944528,541275,COMPASSVALE LINK,FAITH EDUCARE CENTRE @BUANGKOK PTE. LTD.,34803.46601,40540.79689,275A COMPASSVALE LINK
0,52 HAVELOCK ROAD HAVELOCK VIEW SINGAPORE 161052,52,HAVELOCK VIEW,1.28951776,103.8284671,103.8284671,161052,HAVELOCK ROAD,HAVELOCK VIEW,27460.06972,30213.84204,52 HAVELOCK RD
1,52A HAVELOCK ROAD HAVELOCK VIEW SINGAPORE 162052,52A,HAVELOCK VIEW,1.289849378,103.8286521,103.8286521,162052,HAVELOCK ROAD,HAVELOCK VIEW,27480.65994,30250.51056,52 HAVELOCK RD
0,347B YISHUN AVENUE 11 ADORA GREEN SINGAPORE 762347,347B,ADORA GREEN,1.427495093,103.8423771,103.8423771,762347,YISHUN AVENUE 11,ADORA GREEN,29008.08365,45470.67337,347B YISHUN AVE 11
0,651 YISHUN AVENUE 4 NEE SOON CENTRAL VIEW SINGAPORE 760651,651,NEE SOON CENTRAL VIEW,1.423365101,103.8391035,103.8391035,760651,YISHUN AVENUE 4,NEE SOON CENTRAL VIEW,28643.78022,45013.99841,651 YISHUN AVE 4
0,202 MARSILING DRIVE MARSILING ADMIRALTY PARK SINGAPORE 730202,202,MARSILING ADMIRALTY PARK,1.443151211,103.7751648,103.7751648,730202,MARSILING DRIVE,MARSILING ADMIRALTY PARK,21528.387,47201.92897,202 MARSILING DR
0,320 HOUGANG AVENUE 5 HDB-HOUGANG SINGAPORE 530320,320,HDB-HOUGANG,1.366269896,103.8980294,103.8980294,530320,HOUGANG AVENUE 5,HDB-HOUGANG,35201.54844,38700.79602,320 HOUGANG AVE 5
0,8 MARINE TERRACE MARINE TERRACE WALK SINGAPORE 440008,8,MARINE TERRACE WALK,1.304364656,103.9161086,103.9161086,440008,MARINE TERRACE,MARINE TERRACE WALK,37213.77726,31855.68617,8 MARINE TER
0,614 ANG MO KIO AVENUE 4 HDB-ANG MO KIO SINGAPORE 560614,614,HDB-ANG MO KIO,1.377969305,103.8392171,103.8392171,560614,ANG MO KIO AVENUE 4,HDB-ANG MO KIO,28656.43711,39994.36111,614 ANG MO KIO AVE 4
0,259A BUKIT BATOK EAST AVENUE 4 SINGAPORE 651259,259A,NIL,1.350737307,103.7599454,103.7599454,651259,BUKIT BATOK EAST AVENUE 4,259A BUKIT BATOK EAST AVENUE 4 SINGAPORE 651259,19834.38432,36983.3079,259 BT BATOK EAST AVE 4
1,259 BUKIT BATOK EAST AVENUE 4 HDB-BUKIT BATOK SINGAPORE 650259,259,HDB-BUKIT BATOK,1.350858597,103.7597611,103.7597611,650259,BUKIT BATOK EAST AVENUE 4,HDB-BUKIT BATOK,19813.8797,36996.72022,259 BT BATOK EAST AVE 4
0,28A KELANTAN ROAD SINGAPORE 201028,28A,NIL,1.306163112,103.8574567,103.8574567,201028,KELANTAN ROAD,28A KELANTAN ROAD SINGAPORE 201028,30686.34982,32054.41159,28 KELANTAN RD
1,28 KELANTAN ROAD KELANTAN COURT SINGAPORE 200028,28,KELANTAN COURT,1.30581076,103.8574796,103.8574796,200028,KELANTAN ROAD,KELANTAN COURT,30688.89965,32015.45037,28 KELANTAN RD
0,43 LORONG 5 TOA PAYOH EAST PAYOH SPRING SINGAPORE 310043,43,EAST PAYOH SPRING,1.335906923,103.8543146,103.8543146,310043,LORONG 5 TOA PAYOH,EAST PAYOH SPRING,30336.63499,35343.32664,43 LOR 5 TOA PAYOH
1,43 LORONG 5 TOA PAYOH HDB PUBLIC SHELTERS SINGAPORE 310043,43,HDB PUBLIC SHELTERS,1.335938753,103.8542882,103.8542882,310043,LORONG 5 TOA PAYOH,HDB PUBLIC SHELTERS,30333.69469,35346.84611,43 LOR 5 TOA PAYOH
2,43 LORONG 5 TOA PAYOH PCF Toa Payoh East Student Care Centre SINGAPORE 310043,43,PCF Toa Payoh East Student Care Centre,1.335985407,103.8542418,103.8542418,310043,LORONG 5 TOA PAYOH,PCF Toa Payoh East Student Care Centre,30328.5357,35352.0049,43 LOR 5 TOA PAYOH
0,101 TOWNER ROAD HDB-KALLANG/WHAMPOA SINGAPORE 322101,101,HDB-KALLANG/WHAMPOA,1.31942539,103.8610875,103.8610875,322101,TOWNER ROAD,HDB-KALLANG/WHAMPOA,31090.40397,33520.8905,101 TOWNER RD
1,101 TOWNER ROAD DBS Towner Road Branch SINGAPORE 322101,101,DBS Towner Road Branch,1.319432746,103.861091,103.861091,322101,TOWNER ROAD,DBS Towner Road Branch,31090.79839,33521.7038,101 TOWNER RD
2,101 TOWNER ROAD TOWNER POST OFFICE SINGAPORE 322101,101,TOWNER POST OFFICE,1.319412643,103.861077,103.861077,322101,TOWNER ROAD,TOWNER POST OFFICE,31089.24501,33519.48098,101 TOWNER RD
3,101 TOWNER ROAD UOB Towner Road SINGAPORE 322101,101,UOB Towner Road,1.31942539,103.8610875,103.8610875,322101,TOWNER ROAD,UOB Towner Road,31090.404,33520.8905,101 TOWNER RD
4,101 TOWNER ROAD OCBC Towner Road - 7 Eleven SINGAPORE 322101,101,OCBC Towner Road - 7 Eleven,1.319432746,103.861091,103.861091,322101,TOWNER ROAD,OCBC Towner Road - 7 Eleven,31090.79839,33521.7038,101 TOWNER RD
0,581 WOODLANDS DRIVE 16 HDB-WOODLANDS SINGAPORE 730581,581,HDB-WOODLANDS,1.4298903,103.7964039,103.7964039,730581,WOODLANDS DRIVE 16,HDB-WOODLANDS,23891.9482,45735.55433,581 WOODLANDS DR 16
1,581 WOODLANDS DRIVE 16 PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 581 (KN) SINGAPORE 730581,581,PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 581 (KN),1.4298903,103.7964039,103.7964039,730581,WOODLANDS DRIVE 16,PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 581 (KN),23891.9482,45735.5543,581 WOODLANDS DR 16
0,536 JELAPANG ROAD PANSHAN GROVE SINGAPORE 670536,536,PANSHAN GROVE,1.384221831,103.7637669,103.7637669,670536,JELAPANG ROAD,PANSHAN GROVE,20259.78709,40685.8463,536 JELAPANG RD
0,144 BEDOK RESERVOIR ROAD EUNOS SPRING SINGAPORE 470144,144,EUNOS SPRING,1.334869769,103.9125268,103.9125268,470144,BEDOK RESERVOIR ROAD,EUNOS SPRING,36815.04754,35228.77531,144 BEDOK RESERVOIR RD
0,442 SIN MING AVENUE SIN MING COURT SINGAPORE 570442,442,SIN MING COURT,1.359235757,103.8323688,103.8323688,570442,SIN MING AVENUE,SIN MING COURT,27894.30578,37922.89985,442 SIN MING AVE
0,578A WOODLANDS DRIVE 16 MULTI STOREY CAR PARK SINGAPORE 731578,578A,MULTI STOREY CAR PARK,1.431374149,103.796677,103.796677,731578,WOODLANDS DRIVE 16,MULTI STOREY CAR PARK,23922.33901,45899.63041,578 WOODLANDS DR 16
1,578 WOODLANDS DRIVE 16 HDB-WOODLANDS SINGAPORE 730578,578,HDB-WOODLANDS,1.431544558,103.7961524,103.7961524,730578,WOODLANDS DRIVE 16,HDB-WOODLANDS,23863.96756,45918.47438,578 WOODLANDS DR 16
0,51 KENT ROAD KENT VILLE SINGAPORE 210051,51,KENT VILLE,1.316757072,103.8511056,103.8511056,210051,KENT ROAD,KENT VILLE,29979.51809,33225.83141,51 KENT RD
0,690D CHOA CHU KANG CRESCENT HDB-CHOA CHU KANG SINGAPORE 684690,690D,HDB-CHOA CHU KANG,1.402149787,103.7521016,103.7521016,684690,CHOA CHU KANG CRESCENT,HDB-CHOA CHU KANG,18961.65375,42668.27217,690D CHOA CHU KANG CRES
1,690D CHOA CHU KANG CRESCENT PCF SPARKLETOTS PRESCHOOL @ YEW TEE Blk 690D (KN) SINGAPORE 684690,690D,PCF SPARKLETOTS PRESCHOOL @ YEW TEE Blk 690D (KN),1.401962037,103.7519872,103.7519872,684690,CHOA CHU KANG CRESCENT,PCF SPARKLETOTS PRESCHOOL @ YEW TEE Blk 690D (KN),18948.92479,42647.51209,690D CHOA CHU KANG CRES
0,620 BUKIT PANJANG RING ROAD HDB-BUKIT PANJANG SINGAPORE 670620,620,HDB-BUKIT PANJANG,1.385855583,103.7617375,103.7617375,670620,BUKIT PANJANG RING ROAD,HDB-BUKIT PANJANG,20033.93954,40866.50518,620 BT PANJANG RING RD
1,620 BUKIT PANJANG RING ROAD PCF SPARKLETOTS PRESCHOOL @ ZHENGHUA Blk 620 (KN) SINGAPORE 670620,620,PCF SPARKLETOTS PRESCHOOL @ ZHENGHUA Blk 620 (KN),1.385855576,103.7617375,103.7617375,670620,BUKIT PANJANG RING ROAD,PCF SPARKLETOTS PRESCHOOL @ ZHENGHUA Blk 620 (KN),20033.94011,40866.50439,620 BT PANJANG RING RD
0,404 BEDOK NORTH AVENUE 3 RAINBOW VILLE SINGAPORE 460404,404,RAINBOW VILLE,1.329374924,103.9339269,103.9339269,460404,BEDOK NORTH AVENUE 3,RAINBOW VILLE,39196.68293,34621.26963,404 BEDOK NTH AVE 3
0,11 FARRER PARK ROAD FARRER PARK VIEW SINGAPORE 210011,11,FARRER PARK VIEW,1.312367682,103.8521093,103.8521093,210011,FARRER PARK ROAD,FARRER PARK VIEW,30091.22929,32740.47603,11 FARRER PK RD
0,420 BUKIT BATOK WEST AVENUE 2 HDB-BUKIT BATOK SINGAPORE 650420,420,HDB-BUKIT BATOK,1.36255043,103.7457708,103.7457708,650420,BUKIT BATOK WEST AVENUE 2,HDB-BUKIT BATOK,18256.95873,38289.59662,420 BT BATOK WEST AVE 2
0,145 PETIR ROAD HDB-BUKIT PANJANG SINGAPORE 670145,145,HDB-BUKIT PANJANG,1.376007407,103.7668841,103.7668841,670145,PETIR ROAD,HDB-BUKIT PANJANG,20606.66681,39777.52654,145 PETIR RD
0,354C ADMIRALTY DRIVE HDB-SEMBAWANG SINGAPORE 753354,354C,HDB-SEMBAWANG,1.450644444,103.8182495,103.8182495,753354,ADMIRALTY DRIVE,HDB-SEMBAWANG,26323.0485,48030.41583,354C ADMIRALTY DR
0,322 YISHUN CENTRAL YISHUN RIVERGREEN SINGAPORE 760322,322,YISHUN RIVERGREEN,1.428734428,103.8408362,103.8408362,760322,YISHUN CENTRAL,YISHUN RIVERGREEN,28836.59548,45607.71215,322 YISHUN CTRL
0,603A PUNGGOL ROAD PUNGGOL LODGE SINGAPORE 821603,603A,PUNGGOL LODGE,1.403530127,103.9084634,103.9084634,821603,PUNGGOL ROAD,PUNGGOL LODGE,36362.59397,42820.88062,603A PUNGGOL RD
0,274 BANGKIT ROAD HDB-BUKIT PANJANG SINGAPORE 670274,274,HDB-BUKIT PANJANG,1.377156192,103.774823,103.774823,670274,BANGKIT ROAD,HDB-BUKIT PANJANG,21490.16822,39904.5303,274 BANGKIT RD
1,274 BANGKIT ROAD NKF DIALYSIS CENTRE BUKIT PANJANG SINGAPORE 670274,274,NKF DIALYSIS CENTRE BUKIT PANJANG,1.377177366,103.7751471,103.7751471,670274,BANGKIT ROAD,NKF DIALYSIS CENTRE BUKIT PANJANG,21526.23576,39906.87065,274 BANGKIT RD
0,69 LORONG 4 TOA PAYOH TOA PAYOH VISTA SINGAPORE 310069,69,TOA PAYOH VISTA,1.334180885,103.8527069,103.8527069,310069,LORONG 4 TOA PAYOH,TOA PAYOH VISTA,30157.72102,35152.46869,69 LOR 4 TOA PAYOH
0,406 CHOA CHU KANG AVENUE 3 HDB-CHOA CHU KANG SINGAPORE 680406,406,HDB-CHOA CHU KANG,1.380373895,103.7402096,103.7402096,680406,CHOA CHU KANG AVENUE 3,HDB-CHOA CHU KANG,17638.13779,40260.45043,406 CHOA CHU KANG AVE 3
0,211A NEW UPPER CHANGI ROAD SINGAPORE 461211,211A,NIL,1.325545272,103.9314999,103.9314999,461211,NEW UPPER CHANGI ROAD,211A NEW UPPER CHANGI ROAD SINGAPORE 461211,38926.59033,34197.79488,211 NEW UPP CHANGI RD
1,211 NEW UPPER CHANGI ROAD BEDOK TOWN CENTRE SINGAPORE 460211,211,BEDOK TOWN CENTRE,1.325500845,103.9319676,103.9319676,460211,NEW UPPER CHANGI ROAD,BEDOK TOWN CENTRE,38978.64352,34192.88444,211 NEW UPP CHANGI RD
0,329 SERANGOON AVENUE 3 HDB-SERANGOON ESTATE SINGAPORE 550329,329,HDB-SERANGOON ESTATE,1.349626343,103.8680638,103.8680638,550329,SERANGOON AVENUE 3,HDB-SERANGOON ESTATE,31866.75445,36860.36749,329 SERANGOON AVE 3
1,329 SERANGOON AVENUE 3 Radiance Student Care Centre SINGAPORE 550329,329,Radiance Student Care Centre,1.349626334,103.8680638,103.8680638,550329,SERANGOON AVENUE 3,Radiance Student Care Centre,31866.75469,36860.36649,329 SERANGOON AVE 3
0,631 WOODLANDS RING ROAD HDB-WOODLANDS SINGAPORE 730631,631,HDB-WOODLANDS,1.435321386,103.801399,103.801399,730631,WOODLANDS RING ROAD,HDB-WOODLANDS,24447.83155,46336.08829,631 WOODLANDS RING RD
0,413 SERANGOON CENTRAL HDB-SERANGOON ESTATE SINGAPORE 550413,413,HDB-SERANGOON ESTATE,1.34914801,103.8738531,103.8738531,550413,SERANGOON CENTRAL,HDB-SERANGOON ESTATE,32511.03584,36807.48587,413 SERANGOON CTRL
0,133A JALAN BUKIT MERAH SINGAPORE 161133,133A,NIL,1.279619667,103.8268997,103.8268997,161133,JALAN BUKIT MERAH,133A JALAN BUKIT MERAH SINGAPORE 161133,27285.63327,29119.36235,133 JLN BT MERAH
1,133 JALAN BUKIT MERAH HDB-BUKIT MERAH SINGAPORE 160133,133,HDB-BUKIT MERAH,1.279550933,103.8274009,103.8274009,160133,JALAN BUKIT MERAH,HDB-BUKIT MERAH,27341.41438,29111.76196,133 JLN BT MERAH
0,166 BUKIT BATOK WEST AVENUE 8 HDB-BUKIT BATOK SINGAPORE 650166,166,HDB-BUKIT BATOK,1.34715255,103.7428248,103.7428248,650166,BUKIT BATOK WEST AVENUE 8,HDB-BUKIT BATOK,17929.04299,36586.98761,166 BT BATOK WEST AVE 8
1,166 BUKIT BATOK WEST AVENUE 8 DBS NTUC Bukit Batok East Avenue 8 SINGAPORE 650166,166,DBS NTUC Bukit Batok East Avenue 8,1.347162362,103.7428079,103.7428079,650166,BUKIT BATOK WEST AVENUE 8,DBS NTUC Bukit Batok East Avenue 8,17927.15711,36588.07259,166 BT BATOK WEST AVE 8
2,166 BUKIT BATOK WEST AVENUE 8 OCBC Bukit Batok West Ave 8 - FairPrice SINGAPORE 650166,166,OCBC Bukit Batok West Ave 8 - FairPrice,1.347162362,103.7428079,103.7428079,650166,BUKIT BATOK WEST AVENUE 8,OCBC Bukit Batok West Ave 8 - FairPrice,17927.15711,36588.07259,166 BT BATOK WEST AVE 8
0,651 PASIR RIS DRIVE 10 HDB-PASIR RIS SINGAPORE 510651,651,HDB-PASIR RIS,1.379098876,103.9382913,103.9382913,510651,PASIR RIS DRIVE 10,HDB-PASIR RIS,39682.15503,40119.51998,651 PASIR RIS DR 10
0,28 JALAN KLINIK HDB-BUKIT MERAH SINGAPORE 160028,28,HDB-BUKIT MERAH,1.28789877,103.8282036,103.8282036,160028,JALAN KLINIK,HDB-BUKIT MERAH,27430.74925,30034.82254,28 JLN KLINIK
0,537 WOODLANDS DRIVE 16 HDB-WOODLANDS SINGAPORE 730537,537,HDB-WOODLANDS,1.429657857,103.7925829,103.7925829,730537,WOODLANDS DRIVE 16,HDB-WOODLANDS,23466.73015,45709.85918,537 WOODLANDS DR 16
0,622A PUNGGOL CENTRAL PUNGGOL SPECTRA SINGAPORE 821622,622A,PUNGGOL SPECTRA,1.399927801,103.9110469,103.9110469,821622,PUNGGOL CENTRAL,PUNGGOL SPECTRA,36650.11285,42422.5627,622A PUNGGOL CTRL
0,44 JALAN BAHAGIA WHAMPOA GARDENS SINGAPORE 320044,44,WHAMPOA GARDENS,1.327409379,103.8572312,103.8572312,320044,JALAN BAHAGIA,WHAMPOA GARDENS,30661.22642,34403.7146,44 JLN BAHAGIA
0,207A BOON LAY PLACE BOON LAY PLACE SINGAPORE 641207,207A,BOON LAY PLACE,1.347048755,103.7136556,103.7136556,641207,BOON LAY PLACE,BOON LAY PLACE,14682.82032,36575.65046,207 BOON LAY PL
1,207 BOON LAY PLACE BOON LAY PLACE SINGAPORE 640207,207,BOON LAY PLACE,1.346586103,103.7135684,103.7135684,640207,BOON LAY PLACE,BOON LAY PLACE,14673.11301,36524.49306,207 BOON LAY PL
2,207 BOON LAY PLACE PCF SPARKLETOTS PRESCHOOL @ BOON LAY Blk 207 (KN) SINGAPORE 640207,207,PCF SPARKLETOTS PRESCHOOL @ BOON LAY Blk 207 (KN),1.346586096,103.7135684,103.7135684,640207,BOON LAY PLACE,PCF SPARKLETOTS PRESCHOOL @ BOON LAY Blk 207 (KN),14673.11401,36524.4923,207 BOON LAY PL
0,61 MARINE DRIVE MARINE DRIVE GARDENS SINGAPORE 440061,61,MARINE DRIVE GARDENS,1.303087565,103.908752,103.908752,440061,MARINE DRIVE,MARINE DRIVE GARDENS,36395.05106,31714.44623,61 MARINE DR
0,311D ANCHORVALE LANE ANCHORVALE VISTA SINGAPORE 544311,311D,ANCHORVALE VISTA,1.39185684,103.8847024,103.8847024,544311,ANCHORVALE LANE,ANCHORVALE VISTA,33718.34802,41530.03559,311D ANCHORVALE LANE
0,404A FERNVALE LANE FERN SPRING SINGAPORE 791404,404A,FERN SPRING,1.388348217,103.8738149,103.8738149,791404,FERNVALE LANE,FERN SPRING,32506.71055,41142.04623,404A FERNVALE LANE
0,351A CHOA CHU KANG CENTRAL HDB-CHOA CHU KANG SINGAPORE 681351,351A,HDB-CHOA CHU KANG,1.383217187,103.7430641,103.7430641,681351,CHOA CHU KANG CENTRAL,HDB-CHOA CHU KANG,17955.82301,40574.83541,351 CHOA CHU KANG CTRL
1,351 CHOA CHU KANG CENTRAL HDB-CHOA CHU KANG SINGAPORE 680351,351,HDB-CHOA CHU KANG,1.383504884,103.7430794,103.7430794,680351,CHOA CHU KANG CENTRAL,HDB-CHOA CHU KANG,17957.52795,40606.64746,351 CHOA CHU KANG CTRL
0,329 JURONG EAST AVENUE 1 HDB-JURONG EAST SINGAPORE 600329,329,HDB-JURONG EAST,1.350139886,103.7299366,103.7299366,600329,JURONG EAST AVENUE 1,HDB-JURONG EAST,16494.73674,36917.36955,329 JURONG EAST AVE 1
0,3C UPPER BOON KENG ROAD KALLANG HEIGHTS SINGAPORE 383003,3C,KALLANG HEIGHTS,1.313793188,103.8730939,103.8730939,383003,UPPER BOON KENG ROAD,KALLANG HEIGHTS,32426.60936,32898.12843,3C UPP BOON KENG RD
0,114 LORONG 1 TOA PAYOH TOA PAYOH NORTH SINGAPORE 310114,114,TOA PAYOH NORTH,1.340940348,103.8443059,103.8443059,310114,LORONG 1 TOA PAYOH,TOA PAYOH NORTH,29222.77243,35899.88973,114 LOR 1 TOA PAYOH
0,128 LORONG AH SOO HDB-HOUGANG SINGAPORE 530128,128,HDB-HOUGANG,1.351723552,103.8864872,103.8864872,530128,LORONG AH SOO,HDB-HOUGANG,33917.06474,37092.30336,128 LOR AH SOO
0,101 RIVERVALE WALK RIVERVALE COURT SINGAPORE 540101,101,RIVERVALE COURT,1.38276429,103.899272,103.899272,540101,RIVERVALE WALK,RIVERVALE COURT,35339.78244,40524.6672,101 RIVERVALE WALK
1,101 RIVERVALE WALK MY FIRST SKOOL SINGAPORE 540101,101,MY FIRST SKOOL,1.382764289,103.899272,103.899272,540101,RIVERVALE WALK,MY FIRST SKOOL,35339.7832,40524.66711,101 RIVERVALE WALK
0,327 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560327,327,ANG MO KIO 31,1.367052844,103.8469874,103.8469874,560327,ANG MO KIO AVENUE 3,ANG MO KIO 31,29521.18121,38787.27782,327 ANG MO KIO AVE 3
0,226A COMPASSVALE WALK COMPASSVALE VISTA SINGAPORE 541226,226A,COMPASSVALE VISTA,1.387412626,103.8997197,103.8997197,541226,COMPASSVALE WALK,COMPASSVALE VISTA,35389.58893,41038.65833,226A COMPASSVALE WALK
0,144 TECK WHYE LANE HDB-CHOA CHU KANG SINGAPORE 680144,144,HDB-CHOA CHU KANG,1.380827687,103.7524766,103.7524766,680144,TECK WHYE LANE,HDB-CHOA CHU KANG,19003.30264,40310.57863,144 TECK WHYE LANE
0,350A CANBERRA ROAD HDB-SEMBAWANG SINGAPORE 751350,350A,HDB-SEMBAWANG,1.450540912,103.8206243,103.8206243,751350,CANBERRA ROAD,HDB-SEMBAWANG,26587.32649,48018.96618,350A CANBERRA RD
0,123 BUKIT BATOK CENTRAL HDB-BUKIT BATOK SINGAPORE 650123,123,HDB-BUKIT BATOK,1.3514197,103.7474994,103.7474994,650123,BUKIT BATOK CENTRAL,HDB-BUKIT BATOK,18449.29127,37058.80893,123 BT BATOK CTRL
0,180C RIVERVALE CRESCENT RIVERVALE ARC SINGAPORE 543180,180C,RIVERVALE ARC,1.389491502,103.9096604,103.9096604,543180,RIVERVALE CRESCENT,RIVERVALE ARC,36495.85597,41268.56347,180C RIVERVALE CRES
0,123 MARSILING RISE HDB-WOODLANDS SINGAPORE 730123,123,HDB-WOODLANDS,1.439112423,103.7789491,103.7789491,730123,MARSILING RISE,HDB-WOODLANDS,21949.51663,46755.32941,123 MARSILING RISE
0,24 TIONG BAHRU ROAD HDB-BUKIT MERAH SINGAPORE 164024,24,HDB-BUKIT MERAH,1.285726545,103.8312705,103.8312705,164024,TIONG BAHRU ROAD,HDB-BUKIT MERAH,27772.06511,29794.62865,24 TIONG BAHRU RD
0,3 GHIM MOH ROAD GHIM MOH GREEN SINGAPORE 270003,3,GHIM MOH GREEN,1.311998913,103.7871897,103.7871897,270003,GHIM MOH ROAD,GHIM MOH GREEN,22866.29345,32699.73889,3 GHIM MOH RD
1,3 GHIM MOH ROAD PCF Ulu Pandan Student Care Centre SINGAPORE 270003,3,PCF Ulu Pandan Student Care Centre,1.312010639,103.7871851,103.7871851,270003,GHIM MOH ROAD,PCF Ulu Pandan Student Care Centre,22865.77919,32701.03551,3 GHIM MOH RD
0,288C PUNGGOL PLACE PUNGGOL ARCADIA SINGAPORE 823288,288C,PUNGGOL ARCADIA,1.402550903,103.9035571,103.9035571,823288,PUNGGOL PLACE,PUNGGOL ARCADIA,35816.5949,42712.58589,288C PUNGGOL PL
0,437 CHOA CHU KANG AVENUE 4 HDB-CHOA CHU KANG SINGAPORE 680437,437,HDB-CHOA CHU KANG,1.384109801,103.7406455,103.7406455,680437,CHOA CHU KANG AVENUE 4,HDB-CHOA CHU KANG,17686.66993,40673.5466,437 CHOA CHU KANG AVE 4
