STN_NAME,STN_NO,LINE_SEQ,X,Y,Latitude,Longitude,COLOR,Line,Current,ready by 2019,ready by 2020,ready by 2021,ready by 2023,ready by 2024,ready by 2025,ready by 2029
TEN MILE JUNCTION LRT STATION,BP14,14,19856.1189,40254.525,1.380321008,103.760161,LRT,LRT,1,,,,,,,
SENJA LRT STATION,BP13,13,20104.0139,40516.7226,1.382692296,103.7623879,LRT,LRT,1,,,,,,,
JELAPANG LRT STATION,BP12,12,20341.7491,40960.202,1.386703025,103.7645235,LRT,LRT,1,,,,,,,
SEGAR LRT STATION,BP11,11,20908.767,41078.4025,1.387772131,103.7696171,LRT,LRT,1,,,,,,,
FAJAR LRT STATION,BP10,10,21043.4356,40718.8826,1.384520796,103.7708268,LRT,LRT,1,,,,,,,
CHOA CHU KANG LRT STATION,BP1,1,18121.6052,40753.8693,1.38483636,103.7445797,LRT,LRT,1,,,,,,,
XILIN MRT STATION,DT36,,42643.96238,34569.6853,1.328906949,103.9649026,MRT,Downtown Line Extension,,,,,,1,,
PUNGGOL COAST MRT STATION,NE18,,36599.7228,44123.10208,1.415306868,103.9105946,MRT,North East Line Extension,,,,,1,,,
AVIATION PARK MRT STATION,,,,,,,MRT,Cross Island Line,,,,,,,,1
LOYANG MRT STATION,,,,,,,MRT,Cross Island Line,,,,,,,,1
PASIR RIS EAST MRT STATION,,,,,,,MRT,Cross Island Line,,,,,,,,1
PASIR RIS MRT STATION,,,40911.0404,39427.71863,1.372841969,103.9493334,MRT,Cross Island Line,,,,,,,,1
TAMPINES NORTH MRT STATION,,,,,,,MRT,Cross Island Line,,,,,,,,1
DEFU MRT STATION,,,,,,,MRT,Cross Island Line,,,,,,,,1
HOUGANG MRT STATION,,,34559.66185,39150.24779,1.370334724,103.8922618,MRT,Cross Island Line,,,,,,,,1
SERANGOON NORTH MRT STATION,,,31982.41571,39747.39963,1.375735612,103.8691035,MRT,Cross Island Line,,,,,,,,1
TAVISTOCK MRT STATION,,,,,,,MRT,Cross Island Line,,,,,,,,1
ANG MO KIO MRT STATION,,,29795.8138,39049.9738,1.369428557,103.8494552,MRT,Cross Island Line,,,,,,,,1
TECK GHEE MRT STATION,,,,,,,MRT,Cross Island Line,,,,,,,,1
Bright Hill MRT STATION,,,27978.47193,38392.68619,1.363484337,103.8331251,MRT,Cross Island Line,,,,,,,,1
CANBERRA MRT STATION,NS12,,27598.61997,47200.24673,1.443136743,103.8297118,MRT,North South Line,,1,,,,,,
