,rank_2018,primary_school_name,total_vacancy,percentage_balance_vacancy,balance_vacancy,primary_school_name_clean,index,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
17,18, Anglo-Chinese School (Junior) ,229,15.20%, 41/270, Anglo-Chinese School (Junior) ,0,16 WINSTEDT ROAD ANGLO-CHINESE SCHOOL (JUNIOR) SINGAPORE 227988,16,ANGLO-CHINESE SCHOOL (JUNIOR),1.30935122599558,103.840955091346,103.840955091346,227988,WINSTEDT ROAD,ANGLO-CHINESE SCHOOL (JUNIOR),28849.8721698103,32406.925238777
18,19, Maris Stella High School ,228,15.60%, 42/270, Maris Stella High School ,0,25 MOUNT VERNON ROAD MARIS STELLA HIGH SCHOOL SINGAPORE 368051,25,MARIS STELLA HIGH SCHOOL,1.34139473351042,103.877852484707,103.877852484707,368051,MOUNT VERNON ROAD,MARIS STELLA HIGH SCHOOL,32956.1427370068,35950.1756834146
19,20, Catholic High School ,219,8.80%, 21/240, Catholic High School ,0,9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767,9,CATHOLIC HIGH SCHOOL,1.35472307471664,103.844874676599,103.844874676599,579767,BISHAN STREET 22,CATHOLIC HIGH SCHOOL,29286.0617525252,37423.9135497641
20,21, Sengkang Green Primary School ,217,19.60%, 53/270, Sengkang Green Primary School ,0,15 FERNVALE ROAD SENGKANG GREEN PRIMARY SCHOOL SINGAPORE 797636,15,SENGKANG GREEN PRIMARY SCHOOL,1.39284606680479,103.875217666486,103.875217666486,797636,FERNVALE ROAD,SENGKANG GREEN PRIMARY SCHOOL,32662.81664511,41639.3984784037
21,22, Frontier Primary School ,216,10.00%, 24/240, Frontier Primary School ,0,20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200,20,FRONTIER PRIMARY SCHOOL,1.33641298743236,103.69970173931,103.69970173931,648200,JURONG WEST STREET 61,FRONTIER PRIMARY SCHOOL,13129.8467444247,35399.6791207269
22,23, Red Swastika School ,214,10.80%, 26/240, Red Swastika School ,0,350 BEDOK NORTH AVENUE 3 RED SWASTIKA SCHOOL SINGAPORE 469719,350,RED SWASTIKA SCHOOL,1.33324297847733,103.934332314404,103.934332314404,469719,BEDOK NORTH AVENUE 3,RED SWASTIKA SCHOOL,39241.7795945583,35048.9817909691
23,24, Northland Primary School ,210,12.50%, 30/240, Northland Primary School ,0,15 YISHUN AVENUE 4 NORTHLAND PRIMARY SCHOOL SINGAPORE 769026,15,NORTHLAND PRIMARY SCHOOL,1.42096989918956,103.840928424929,103.840928424929,769026,YISHUN AVENUE 4,NORTHLAND PRIMARY SCHOOL,28846.8654693803,44749.149679793
24,25, Nan Hua Primary School ,210,12.50%, 30/240, Nan Hua Primary School ,0,30 JALAN LEMPENG NAN HUA PRIMARY SCHOOL (U/C) SINGAPORE 128806,30,NAN HUA PRIMARY SCHOOL (U/C),1.31920159956389,103.761095065761,103.761095065761,128806,JALAN LEMPENG,NAN HUA PRIMARY SCHOOL (U/C),19962.229840409,33496.2443055119
25,26, Anglo-Chinese School (Primary) ,208,13.30%, 32/240, Anglo-Chinese School (Primary) ,0,50 BARKER ROAD ANGLO-CHINESE SCHOOL (PRIMARY) SINGAPORE 309918,50,ANGLO-CHINESE SCHOOL (PRIMARY),1.31837054550897,103.835609732082,103.835609732082,309918,BARKER ROAD,ANGLO-CHINESE SCHOOL (PRIMARY),28254.9829174643,33404.234054137
26,27, Temasek Primary School ,206,14.20%, 34/240, Temasek Primary School ,0,501 BEDOK SOUTH AVENUE 3 TEMASEK PRIMARY SCHOOL SINGAPORE 469300,501,TEMASEK PRIMARY SCHOOL,1.31770677551335,103.945590669163,103.945590669163,469300,BEDOK SOUTH AVENUE 3,TEMASEK PRIMARY SCHOOL,40494.796937095,33331.119106153
27,28, Punggol Green Primary School ,206,35.60%, 114/320, Punggol Green Primary School ,0,98 PUNGGOL WALK PUNGGOL GREEN PRIMARY SCHOOL SINGAPORE 828772,98,PUNGGOL GREEN PRIMARY SCHOOL,1.40187220643297,103.898801330302,103.898801330302,828772,PUNGGOL WALK,PUNGGOL GREEN PRIMARY SCHOOL,35287.3409520229,42637.5237120893
28,29, Paya Lebar Methodist Girls’ School (Primary) ,202,25.20%, 68/270, Paya Lebar Methodist Girl School (Primary) ,0,298 LORONG AH SOO PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY) SINGAPORE 536741,298,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.34947276268398,103.884971343143,103.884971343143,536741,LORONG AH SOO,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),33748.3760953201,36843.4187818971
29,30, Kuo Chuan Presbyterian Primary School ,201,16.30%, 39/240, Kuo Chuan Presbyterian Primary School ,0,8 BISHAN STREET 13 KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 579793,8,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.34939813669538,103.855018233311,103.855018233311,579793,BISHAN STREET 13,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,30414.9291181257,36835.1167885195
30,31, St. Andrew’s Junior School ,190,20.80%, 50/240, Saint Andrew Junior School ,0,2 FRANCIS THOMAS DRIVE SAINT ANDREW'S JUNIOR SCHOOL SINGAPORE 359337,2,SAINT ANDREW'S JUNIOR SCHOOL,1.33140255308872,103.865117134385,103.865117134385,359337,FRANCIS THOMAS DRIVE,SAINT ANDREW'S JUNIOR SCHOOL,31538.8499082187,34845.2692709621
31,32, CHIJ St. Nicholas Girls’ School ,189,10.00%, 21/210, CHIJ Saint Nicholas Girl School ,0,501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405,501,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,1.37347687878919,103.834253269436,103.834253269436,569405,ANG MO KIO STREET 13,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,28104.0195931308,39497.6106162667
32,33, St. Joseph’s Institution Junior ,189,21.30%, 51/240, Saint Joseph Institution Junior ,0,3 ESSEX ROAD SAINT JOSEPH'S INSTITUTION JUNIOR SINGAPORE 309331,3,SAINT JOSEPH'S INSTITUTION JUNIOR,1.31772860986917,103.845611935235,103.845611935235,309331,ESSEX ROAD,SAINT JOSEPH'S INSTITUTION JUNIOR,29368.130666256,33333.2553599086
33,34, Radin Mas Primary School ,187,11.00%, 23/210, Radin Mas Primary School ,0,1 BUKIT PURMEI AVENUE RADIN MAS PRIMARY SCHOOL SINGAPORE 099840,1,RADIN MAS PRIMARY SCHOOL,1.27495823622639,103.824188270373,103.824188270373,099840,BUKIT PURMEI AVENUE,RADIN MAS PRIMARY SCHOOL,26983.8685896061,28603.9263991751
34,35, Anderson Primary School ,185,11.90%, 25/210, Anderson Primary School ,0,19 ANG MO KIO AVENUE 9 ANDERSON PRIMARY SCHOOL SINGAPORE 569785,19,ANDERSON PRIMARY SCHOOL,1.38426429436739,103.841392081119,103.841392081119,569785,ANG MO KIO AVENUE 9,ANDERSON PRIMARY SCHOOL,28898.477648247,40690.4297215324
35,36, Gongshang Primary School ,185,11.90%, 25/210, Gongshang Primary School ,0,1 TAMPINES STREET 42 GONGSHANG PRIMARY SCHOOL SINGAPORE 529176,1,GONGSHANG PRIMARY SCHOOL,1.35723721033471,103.949116145623,103.949116145623,529176,TAMPINES STREET 42,GONGSHANG PRIMARY SCHOOL,40886.9426989323,37702.2191547398
36,37, Hong Wen School ,183,12.90%, 27/210, Hong Wen School ,0,30 TOWNER ROAD HONG WEN SCHOOL SINGAPORE 327829,30,HONG WEN SCHOOL,1.32175999964555,103.857628468881,103.857628468881,327829,TOWNER ROAD,HONG WEN SCHOOL,30705.4493981991,33779.0355954077
37,38, Poi Ching School ,182,24.20%, 58/240, Poi Ching School ,0,21 TAMPINES STREET 71 POI CHING SCHOOL SINGAPORE 529067,21,POI CHING SCHOOL,1.35765122315691,103.935246477199,103.935246477199,529067,TAMPINES STREET 71,POI CHING SCHOOL,39343.403805065,37747.9291978553
38,39, Methodist Girls’ School (Primary) ,180,14.30%, 30/210, Methodist Girl School (Primary) ,0,298 LORONG AH SOO PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY) SINGAPORE 536741,298,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.34947276268398,103.884971343143,103.884971343143,536741,LORONG AH SOO,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),33748.3760953201,36843.4187818971
39,40, Westwood Primary School ,180,25.00%, 60/240, Westwood Primary School ,0,1 JURONG WEST STREET 73 WESTWOOD PRIMARY SCHOOL SINGAPORE 649188,1,WESTWOOD PRIMARY SCHOOL,1.34718456606377,103.70053420978,103.70053420978,649188,JURONG WEST STREET 73,WESTWOOD PRIMARY SCHOOL,13222.5567915831,36590.7433791012
40,41, River Valley Primary School ,176,26.70%, 64/240, River Valley Primary School ,0,2 RIVER VALLEY GREEN RIVER VALLEY PRIMARY SCHOOL SINGAPORE 237993,2,RIVER VALLEY PRIMARY SCHOOL,1.29422328461692,103.835815165829,103.835815165829,237993,RIVER VALLEY GREEN,RIVER VALLEY PRIMARY SCHOOL,28277.8483209396,30734.1542524341
41,42, Bukit Panjang Primary School ,170,29.20%, 70/240, Bukit Panjang Primary School ,0,109 CASHEW ROAD BUKIT PANJANG PRIMARY SCHOOL SINGAPORE 679676,109,BUKIT PANJANG PRIMARY SCHOOL,1.37362179302439,103.769374904025,103.769374904025,679676,CASHEW ROAD,BUKIT PANJANG PRIMARY SCHOOL,20883.8530479278,39513.7297099233
42,43, Ngee Ann Primary School ,169,29.60%, 71/240, Ngee Ann Primary School ,0,344 MARINE TERRACE NGEE ANN PRIMARY SCHOOL SINGAPORE 449149,344,NGEE ANN PRIMARY SCHOOL,1.305525059105,103.917463017497,103.917463017497,449149,MARINE TERRACE,NGEE ANN PRIMARY SCHOOL,37364.5041869497,31984.0027186852
43,44, Rivervale Primary School ,168,30.00%, 72/240, Rivervale Primary School ,0,80 RIVERVALE DRIVE RIVERVALE PRIMARY SCHOOL SINGAPORE 545092,80,RIVERVALE PRIMARY SCHOOL,1.39340997767763,103.904559511997,103.904559511997,545092,RIVERVALE DRIVE,RIVERVALE PRIMARY SCHOOL,35928.1770641878,41701.8312798422
